id,link,bank,rating
530964,/bank/tinkoff-bank/otzyvy/530964,tinkoff-bank,5
530948,/bank/tinkoff-bank/otzyvy/530948,tinkoff-bank,5
530947,/bank/tinkoff-bank/otzyvy/530947,tinkoff-bank,5
530945,/bank/sovkombank/otzyvy/530945,sovkombank,5
530944,/bank/tinkoff-bank/otzyvy/530944,tinkoff-bank,5
530934,/bank/tinkoff-bank/otzyvy/530934,tinkoff-bank,5
530932,/bank/sovkombank/otzyvy/530932,sovkombank,5
530920,/bank/tinkoff-bank/otzyvy/530920,tinkoff-bank,5
530918,/bank/tinkoff-bank/otzyvy/530918,tinkoff-bank,5
530897,/bank/tinkoff-bank/otzyvy/530897,tinkoff-bank,5
530887,/bank/tinkoff-bank/otzyvy/530887,tinkoff-bank,5
530830,/bank/gazprombank/otzyvy/530830,gazprombank,1
530826,/bank/tinkoff-bank/otzyvy/530826,tinkoff-bank,5
530821,/bank/sovkombank/otzyvy/530821,sovkombank,5
530819,/bank/tinkoff-bank/otzyvy/530819,tinkoff-bank,5
530817,/bank/tinkoff-bank/otzyvy/530817,tinkoff-bank,5
530780,/bank/aziatskotikhookeanskij-bank/otzyvy/530780,aziatskotikhookeanskij-bank,1
530766,/bank/tochka/otzyvy/530766,tochka,5
530752,/bank/tinkoff-bank/otzyvy/530752,tinkoff-bank,5
530741,/bank/tinkoff-bank/otzyvy/530741,tinkoff-bank,4
530730,/bank/sovkombank/otzyvy/530730,sovkombank,5
530719,/bank/sovkombank/otzyvy/530719,sovkombank,5
530717,/bank/tinkoff-bank/otzyvy/530717,tinkoff-bank,5
530710,/bank/sovkombank/otzyvy/530710,sovkombank,5
530687,/bank/tinkoff-bank/otzyvy/530687,tinkoff-bank,5
530678,/bank/tinkoff-bank/otzyvy/530678,tinkoff-bank,5
530657,/bank/sovkombank/otzyvy/530657,sovkombank,5
530652,/bank/sovkombank/otzyvy/530652,sovkombank,5
530644,/bank/sovkombank/otzyvy/530644,sovkombank,5
530624,/bank/expobank/otzyvy/530624,expobank,5
530620,/bank/tinkoff-bank/otzyvy/530620,tinkoff-bank,5
530572,/bank/tinkoff-bank/otzyvy/530572,tinkoff-bank,5
530563,/bank/sovkombank/otzyvy/530563,sovkombank,5
530550,/bank/sovkombank/otzyvy/530550,sovkombank,5
530544,/bank/sovkombank/otzyvy/530544,sovkombank,5
530529,/bank/sovkombank/otzyvy/530529,sovkombank,5
530501,/bank/tinkoff-bank/otzyvy/530501,tinkoff-bank,5
530487,/bank/sovkombank/otzyvy/530487,sovkombank,5
530474,/bank/sovkombank/otzyvy/530474,sovkombank,5
530454,/bank/tinkoff-bank/otzyvy/530454,tinkoff-bank,5
530453,/bank/tinkoff-bank/otzyvy/530453,tinkoff-bank,5
530437,/bank/sovkombank/otzyvy/530437,sovkombank,5
530433,/bank/tinkoff-bank/otzyvy/530433,tinkoff-bank,5
530425,/bank/tinkoff-bank/otzyvy/530425,tinkoff-bank,5
530394,/bank/tinkoff-bank/otzyvy/530394,tinkoff-bank,5
530379,/bank/sovkombank/otzyvy/530379,sovkombank,5
530378,/bank/tinkoff-bank/otzyvy/530378,tinkoff-bank,5
530374,/bank/sovkombank/otzyvy/530374,sovkombank,5
530348,/bank/sovkombank/otzyvy/530348,sovkombank,5
530325,/bank/tinkoff-bank/otzyvy/530325,tinkoff-bank,5
530323,/bank/tinkoff-bank/otzyvy/530323,tinkoff-bank,5
530308,/bank/tinkoff-bank/otzyvy/530308,tinkoff-bank,5
530306,/bank/tinkoff-bank/otzyvy/530306,tinkoff-bank,5
530302,/bank/tinkoff-bank/otzyvy/530302,tinkoff-bank,5
530295,/bank/tinkoff-bank/otzyvy/530295,tinkoff-bank,5
530284,/bank/tinkoff-bank/otzyvy/530284,tinkoff-bank,5
530279,/bank/tinkoff-bank/otzyvy/530279,tinkoff-bank,5
530274,/bank/tinkoff-bank/otzyvy/530274,tinkoff-bank,4
530254,/bank/tinkoff-bank/otzyvy/530254,tinkoff-bank,5
530240,/bank/expobank/otzyvy/530240,expobank,5
530233,/bank/sovkombank/otzyvy/530233,sovkombank,5
530224,/bank/tinkoff-bank/otzyvy/530224,tinkoff-bank,5
530212,/bank/tinkoff-bank/otzyvy/530212,tinkoff-bank,5
530209,/bank/tinkoff-bank/otzyvy/530209,tinkoff-bank,5
530146,/bank/tinkoff-bank/otzyvy/530146,tinkoff-bank,5
530118,/bank/tinkoff-bank/otzyvy/530118,tinkoff-bank,5
530101,/bank/tochka/otzyvy/530101,tochka,5
530075,/bank/tochka/otzyvy/530075,tochka,5
